run_timestamp,query,skill,count,percent_of_postings,posting_count
2026-07-27T14:20:22,"ai, data scientist, data science",tableau,1,50.0,2
2026-07-27T19:18:52,"ai, data scientist, data science",communication,2,50.0,4
2026-07-27T19:18:52,"ai, data scientist, data science",excel,1,25.0,4
2026-07-27T19:18:52,"ai, data scientist, data science",leadership,1,25.0,4
2026-07-27T19:18:52,"ai, data scientist, data science",statistics,1,25.0,4
2026-07-27T19:18:52,"ai, data scientist, data science",tableau,1,25.0,4
2026-07-28T02:02:03,"ai, data scientist, data science",communication,2,50.0,4
2026-07-28T02:02:03,"ai, data scientist, data science",excel,1,25.0,4
2026-07-28T02:02:03,"ai, data scientist, data science",leadership,1,25.0,4
2026-07-28T02:02:03,"ai, data scientist, data science",statistics,1,25.0,4
2026-07-28T02:02:03,"ai, data scientist, data science",tableau,1,25.0,4
2026-07-28T08:24:57,"ai, data scientist, data science",communication,1,50.0,2
2026-07-28T13:51:56,"ai, data scientist, data science",communication,1,50.0,2
2026-07-28T19:15:54,"ai, data scientist, data science",communication,1,50.0,2
2026-07-29T02:04:34,"ai, data scientist, data science",communication,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",communication,2,100.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",bigquery,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",ci/cd,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",collaboration,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",etl,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",gcp,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",google cloud,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",java,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",machine learning,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",python,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",sql,1,50.0,2
2026-07-29T08:30:41,"ai, data scientist, data science",excel,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",communication,2,100.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",bigquery,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",ci/cd,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",collaboration,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",etl,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",gcp,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",google cloud,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",java,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",machine learning,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",python,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",sql,1,50.0,2
2026-07-29T13:56:39,"ai, data scientist, data science",excel,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",communication,2,100.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",bigquery,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",ci/cd,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",collaboration,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",etl,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",gcp,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",google cloud,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",java,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",machine learning,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",python,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",sql,1,50.0,2
2026-07-29T19:05:44,"ai, data scientist, data science",excel,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",communication,2,100.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",bigquery,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",ci/cd,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",collaboration,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",etl,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",gcp,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",google cloud,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",java,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",machine learning,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",python,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",sql,1,50.0,2
2026-07-30T01:54:02,"ai, data scientist, data science",excel,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",communication,2,100.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",bigquery,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",ci/cd,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",collaboration,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",etl,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",gcp,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",google cloud,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",java,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",machine learning,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",python,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",sql,1,50.0,2
2026-07-30T08:15:02,"ai, data scientist, data science",excel,1,50.0,2
2026-07-30T13:46:15,"ai, data scientist, data science",communication,3,100.0,3
2026-07-30T13:46:15,"ai, data scientist, data science",excel,2,66.7,3
2026-07-30T13:46:15,"ai, data scientist, data science",machine learning,2,66.7,3
2026-07-30T13:46:15,"ai, data scientist, data science",python,2,66.7,3
2026-07-30T13:46:15,"ai, data scientist, data science",sql,2,66.7,3
2026-07-30T13:46:15,"ai, data scientist, data science",looker,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",numpy,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",pandas,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",power bi,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",reinforcement learning,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",statistics,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",tableau,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",bigquery,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",ci/cd,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",collaboration,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",etl,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",gcp,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",google cloud,1,33.3,3
2026-07-30T13:46:15,"ai, data scientist, data science",java,1,33.3,3
2026-07-30T19:17:08,"ai, data scientist, data science",communication,3,75.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",collaboration,2,50.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",excel,2,50.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",machine learning,2,50.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",python,2,50.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",sql,2,50.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",looker,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",numpy,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",pandas,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",power bi,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",reinforcement learning,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",statistics,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",tableau,1,25.0,4
2026-07-30T19:17:08,"ai, data scientist, data science",bigquery,1,25.0,4
